Title,Assignee,Acceptance Criteria,Description
"T-01: Init project + install dependencies + .gitignore","Lucas Ortiz","npm list muestra express, @prisma/client, cors, dotenv, prisma. .gitignore excluye .env y node_modules.","npm init, instalar express, @prisma/client, cors, dotenv. Instalar prisma como devDep. Crear .gitignore con node_modules, .env, dist."
"T-02: .env.example + scripts + vercel.json + env.js","Lucas Ortiz","npm run dev arranca sin errores de import. DATABASE_URL se carga desde .env.","Agregar scripts (dev, start, prisma:generate, prisma:migrate, prisma:seed, postinstall). Configurar prisma.seed. Crear vercel.json con builder @vercel/node. Crear env.js loader de dotenv. .env.example con DATABASE_URL, PORT, FRONTEND_URL, NODE_ENV (sin valores reales)."
"T-03: GitHub repo + Kanban + invitar profes","Lucas Ortiz","Repo backend creado. Profesores visibles en el board de Notion.","Crear repo backend en GitHub. Armar board de Notion con columnas Pendiente / En Proceso / Terminado. Invitar profesores: guillermo.chiarotto@est.fi.uncoma.edu.ar, lucas.margni@est.fi.uncoma.edu.ar."
"T-04: Crear schema.prisma — modelos Song + FavoriteSong","Valentin Bustamante","Schema matchea el design doc. npx prisma validate pasa.","Crear schema con datasource PostgreSQL. Model Song: id, name, artist, youtubeId, image, genre?, album, duration, audioUrl, createdAt, updatedAt. Model FavoriteSong: id, userId, songId, createdAt con @@unique([userId, songId]) y cascade delete. Usar @map para snake_case."
"T-05: Migración init + PrismaClient singleton","Valentin Bustamante","Carpeta migrations creada. prismaClient.js exporta singleton. Sin connection leaks en hot reload.","npx prisma migrate dev --name init. Crear src/prisma/prismaClient.js exportando singleton new PrismaClient(). Agregar prisma:generate al postinstall."
"T-06: Express app + index + middlewares (CORS, error, 404)","Gaston Berhau","App levanta sin errores. Ruta inexistente devuelve 404. Error forzado devuelve 500 JSON.","app.js: crear Express app, usar express.json(), cors middleware, montar rutas, errorHandler al final, notFound al final. index.js: cargar env, importar app, listen en PORT con console.log. cors.js: permitir FRONTEND_URL de env. errorHandler.js: (err,req,res,next) → 500. notFound.js: catch-all → 404."
"T-07: Health check endpoint GET /api/health","Gaston Berhau","curl GET /api/health → 200, {status: ok, message: API funcionando correctamente}.","Controller devuelve {status: ok, message: API funcionando correctamente}. Ruta: GET /api/health. Wirear en routes/index.js."
"T-08: Validación manual de canciones — validateSong()","Fabrizio Brollo","Body válido → isValid: true. name vacío → field error. youtubeId inválido → error de formato. Body vacío {} → rechazado.","validateSong(body): valida name (string no vacío tras trim), artist (ídem), youtubeId (/^[A-Za-z0-9_-]{11}$/), image (URL válida), genre (opcional), album (opcional, default Unknown Album), duration (opcional, formato MM:SS, default 0:00), audioUrl (opcional, URL o string vacío). SIN Zod/Joi — if/else manual. Retorna {isValid, errors: [{field, message}]}."
"T-09: Songs service — queries Prisma con paginación y búsqueda","Fabrizio Brollo","findAll retorna metadata de paginación correcta. Search busca por name Y artist (ILIKE). Genre es match exacto.","findAll(page, limit, search, genre): where con ILIKE en name OR artist para search, match exacto para genre. skip = (page-1)*limit, take = limit, orderBy: {id: desc}. Dos queries en paralelo: findMany + count. Retorna {data, page, limit, total, totalPages}. findById, create, update, delete."
"T-10: Songs controller + routes — 5 endpoints CRUD","Fabrizio Brollo","5 endpoints con HTTP codes correctos (200, 201, 400, 404). Paginación defaults page=1, limit=10. Search + genre combinados funcionan.","Controller: parsear query params (page, limit, search, genre) con defaults, llamar service, formatear respuesta. POST/PUT llaman validación primero → 400 si inválido. Try/catch → next(err). Routes: GET /api/songs, GET /api/songs/:id, POST /api/songs, PUT /api/songs/:id, DELETE /api/songs/:id."
